path,toolid,TP,FP,FN,TN,total_rows
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\mod\MutexMod_ree4,conkas,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\mod\MutexMod_ree4,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\mod\MutexMod_ree4,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\mod\MutexMod_ree4,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\mod\MutexMod_ree4,securify,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\mod\MutexMod_ree4,teether,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\mod\MutexMod_ree4,vandal,1,0,0,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\mod\MutexMod_ree5,conkas,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\mod\MutexMod_ree5,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\mod\MutexMod_ree5,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\mod\MutexMod_ree5,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\mod\MutexMod_ree5,securify,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\mod\MutexMod_ree5,teether,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\mod\MutexMod_ree5,vandal,1,0,0,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree2,conkas,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree2,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree2,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree2,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree2,securify,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree2,teether,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree2,vandal,1,0,0,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree3,conkas,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree3,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree3,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree3,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree3,securify,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree3,teether,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree3,vandal,1,0,0,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree4,conkas,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree4,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree4,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree4,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree4,securify,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree4,teether,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree4,vandal,1,0,0,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree5,conkas,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree5,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree5,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree5,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree5,securify,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree5,teether,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod\Mutex_ree5,vandal,1,0,0,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-target\constant\Constant_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-target\constant\Constant_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-target\constant\Constant_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-target\constant\Constant_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-target\constant\Constant_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-target\constant\Constant_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-target\constant\Constant_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-target\constructor\Constructor_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-target\constructor\Constructor_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-target\constructor\Constructor_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-target\constructor\Constructor_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-target\constructor\Constructor_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-target\constructor\Constructor_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-target\constructor\Constructor_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-target\parameter\Parameter_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-target\parameter\Parameter_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-target\parameter\Parameter_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-target\parameter\Parameter_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-target\parameter\Parameter_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-target\parameter\Parameter_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\low-level-call\to-target\parameter\Parameter_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\baseline\Cast_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\baseline\Cast_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\baseline\Cast_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\baseline\Cast_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\baseline\Cast_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\baseline\Cast_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\baseline\Cast_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\folded\CastFolded_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\folded\CastFolded_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\folded\CastFolded_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\folded\CastFolded_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\folded\CastFolded_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\folded\CastFolded_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\folded\CastFolded_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\folded\CastFolded_ree2,conkas,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\folded\CastFolded_ree2,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\folded\CastFolded_ree2,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\folded\CastFolded_ree2,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\folded\CastFolded_ree2,securify,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\folded\CastFolded_ree2,teether,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\folded\CastFolded_ree2,vandal,1,0,0,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\folded\CastFolded_ree3,conkas,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\folded\CastFolded_ree3,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\folded\CastFolded_ree3,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\folded\CastFolded_ree3,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\folded\CastFolded_ree3,securify,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\folded\CastFolded_ree3,teether,0,0,1,0,1
handcrafted_tests\bins\0_5\single-function\method-invocation\folded\CastFolded_ree3,vandal,1,0,0,0,1
handcrafted_tests\bins\0_8\always-safe\underflow\CrossUnderflow_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_8\always-safe\underflow\CrossUnderflow_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\always-safe\underflow\CrossUnderflow_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\always-safe\underflow\CrossUnderflow_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\always-safe\underflow\CrossUnderflow_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\always-safe\underflow\CrossUnderflow_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\always-safe\underflow\CrossUnderflow_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_8\always-safe\underflow\Underflow_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_8\always-safe\underflow\Underflow_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\always-safe\underflow\Underflow_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\always-safe\underflow\Underflow_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\always-safe\underflow\Underflow_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\always-safe\underflow\Underflow_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\always-safe\underflow\Underflow_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_8\cross-contract\access-control\human\Human_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\access-control\human\Human_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\access-control\human\Human_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\access-control\human\Human_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\access-control\human\Human_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\access-control\human\Human_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\access-control\human\Human_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_8\cross-contract\access-control\temporal\TemporalLocker_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\access-control\temporal\TemporalLocker_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\access-control\temporal\TemporalLocker_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\access-control\temporal\TemporalLocker_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\access-control\temporal\TemporalLocker_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\access-control\temporal\TemporalLocker_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\access-control\temporal\TemporalLocker_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_8\cross-contract\access-control\temporal\TemporalVault_ree1,conkas,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\access-control\temporal\TemporalVault_ree1,ethor-2023,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\access-control\temporal\TemporalVault_ree1,mythril-0.24.7,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\access-control\temporal\TemporalVault_ree1,oyente+-060ca34,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\access-control\temporal\TemporalVault_ree1,securify,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\access-control\temporal\TemporalVault_ree1,teether,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\access-control\temporal\TemporalVault_ree1,vandal,1,0,1,0,2
handcrafted_tests\bins\0_8\cross-contract\access-control\temporal\TemporalVault_ree2,conkas,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\access-control\temporal\TemporalVault_ree2,ethor-2023,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\access-control\temporal\TemporalVault_ree2,mythril-0.24.7,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\access-control\temporal\TemporalVault_ree2,oyente+-060ca34,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\access-control\temporal\TemporalVault_ree2,securify,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\access-control\temporal\TemporalVault_ree2,teether,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\access-control\temporal\TemporalVault_ree2,vandal,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\create\Create2_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\create\Create2_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\create\Create2_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\create\Create2_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\create\Create2_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\create\Create2_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\create\Create2_ree1,vandal,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\create\Create_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\create\Create_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\create\Create_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\create\Create_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\create\Create_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\create\Create_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\create\Create_ree1,vandal,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\create\Create_ree2,conkas,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\create\Create_ree2,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\create\Create_ree2,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\create\Create_ree2,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\create\Create_ree2,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\create\Create_ree2,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\create\Create_ree2,vandal,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnlyStaticcall_ree1,conkas,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnlyStaticcall_ree1,ethor-2023,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnlyStaticcall_ree1,mythril-0.24.7,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnlyStaticcall_ree1,oyente+-060ca34,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnlyStaticcall_ree1,securify,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnlyStaticcall_ree1,teether,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnlyStaticcall_ree1,vandal,2,0,0,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnly_ree1,conkas,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnly_ree1,ethor-2023,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnly_ree1,mythril-0.24.7,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnly_ree1,oyente+-060ca34,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnly_ree1,securify,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnly_ree1,teether,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnly_ree1,vandal,2,0,0,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnly_ree2,conkas,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnly_ree2,ethor-2023,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnly_ree2,mythril-0.24.7,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnly_ree2,oyente+-060ca34,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnly_ree2,securify,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnly_ree2,teether,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnly_ree2,vandal,2,0,0,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnly_ree3,conkas,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnly_ree3,ethor-2023,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnly_ree3,mythril-0.24.7,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnly_ree3,oyente+-060ca34,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnly_ree3,securify,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnly_ree3,teether,0,0,2,0,2
handcrafted_tests\bins\0_8\cross-contract\read-only\ReadOnly_ree3,vandal,2,0,0,0,2
handcrafted_tests\bins\0_8\cross-contract\to-target\ToTarget_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\to-target\ToTarget_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\to-target\ToTarget_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\to-target\ToTarget_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\to-target\ToTarget_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\to-target\ToTarget_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-contract\to-target\ToTarget_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_8\cross-function\baseline\CrossCall_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\baseline\CrossCall_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\baseline\CrossCall_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\baseline\CrossCall_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\baseline\CrossCall_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\baseline\CrossCall_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\baseline\CrossCall_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_8\cross-function\guard\access-control\OnlyOwner_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\access-control\OnlyOwner_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\access-control\OnlyOwner_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\access-control\OnlyOwner_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\access-control\OnlyOwner_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\access-control\OnlyOwner_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\access-control\OnlyOwner_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossDoubleInitOpenZeppelin_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossDoubleInitOpenZeppelin_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossDoubleInitOpenZeppelin_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossDoubleInitOpenZeppelin_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossDoubleInitOpenZeppelin_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossDoubleInitOpenZeppelin_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossDoubleInitOpenZeppelin_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossDoubleInit_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossDoubleInit_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossDoubleInit_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossDoubleInit_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossDoubleInit_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossDoubleInit_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossDoubleInit_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossMutexModOrder_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossMutexModOrder_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossMutexModOrder_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossMutexModOrder_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossMutexModOrder_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossMutexModOrder_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossMutexModOrder_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossMutexMod_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossMutexMod_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossMutexMod_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossMutexMod_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossMutexMod_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossMutexMod_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_8\cross-function\guard\mutex\mod\CrossMutexMod_ree1,vandal,1,0,0,0,1
